movie_id,genre
342,Action
342,Science Fiction
342,Drama
342,Fantasy
343,Romance
343,Family
343,Animation
343,Fantasy
344,Action
344,Comedy
344,Adventure
345,Horror
346,Science Fiction
346,Adventure
346,Thriller
347,Animation
347,Science Fiction
347,Action
348,Animation
348,Drama
348,Adventure
348,Fantasy
349,Animation
349,Science Fiction
349,Horror
350,Horror
350,Drama
350,Mystery
351,Adventure
351,Action
351,Science Fiction
352,Action
353,Animation
353,Science Fiction
353,Action
354,Horror
354,Thriller
354,Action
354,Adventure
355,Animation
355,Comedy
355,Family
356,Action
356,Drama
356,War
357,Drama
357,Romance
358,Action
358,Thriller
358,Crime
359,Animation
359,Fantasy
359,Action
359,Adventure
360,Romance
360,Comedy
360,Music
361,Action
361,Adventure
361,Science Fiction
362,Adventure
362,Fantasy
362,Animation
362,Action
362,Family
362,Romance
363,Romance
363,Drama
364,Crime
364,Drama
364,Action
365,Action
365,Adventure
365,Fantasy
366,Family
366,Fantasy
367,Romance
367,Comedy
368,Adventure
368,Family
368,Animation
368,Action
368,Comedy
369,Horror
369,Mystery
369,Thriller
370,Adventure
370,Drama
370,Family
371,Drama
371,Action
371,War
372,Comedy
372,Adventure
373,Comedy
373,Action
373,Fantasy
374,Horror
374,Thriller
375,Animation
375,Comedy
375,Adventure
375,Family
376,Animation
376,Family
376,Fantasy
376,Comedy
377,Action
377,Thriller
378,Science Fiction
378,Mystery
378,Adventure
379,Drama
379,Romance
379,Fantasy
380,Action
380,Thriller
381,Comedy
381,Romance
382,Thriller
382,Action
382,Crime
383,Drama
383,Romance
384,Family
384,Fantasy
384,Romance
386,Thriller
386,Action
386,Drama
386,Science Fiction
387,Science Fiction
388,Family
388,Adventure
388,Animation
388,Drama
389,Horror
389,Thriller
390,Thriller
391,Animation
391,Family
391,Fantasy
392,Animation
392,Family
392,Music
392,Comedy
393,Drama
393,Thriller
393,Crime
394,Comedy
394,Drama
395,Horror
396,Adventure
396,Action
396,Animation
396,Drama
396,Comedy
396,Family
396,Fantasy
396,Science Fiction
397,Animation
397,Action
397,Fantasy
398,Comedy
398,Crime
398,Mystery
399,Animation
399,Comedy
399,Family
399,Adventure
400,History
400,Drama
400,Thriller
400,War
401,Animation
401,Action
401,Fantasy
402,Animation
402,Family
402,Adventure
403,Animation
403,Drama
403,Family
404,Crime
404,Drama
404,Thriller
405,Drama
405,Action
405,Adventure
406,Comedy
406,Drama
406,Thriller
407,Drama
407,Thriller
407,War
408,Horror
409,Action
409,Adventure
409,Science Fiction
410,Drama
410,History
411,Animation
411,Family
411,Science Fiction
412,Horror
412,Science Fiction
413,Animation
413,Family
414,Fantasy
414,Adventure
414,Science Fiction
414,Action
415,Family
415,Fantasy
415,Animation
415,Romance
416,Animation
416,Family
416,Fantasy
416,Adventure
416,Comedy
416,Romance
417,Action
417,Animation
417,Science Fiction
418,Action
418,Adventure
418,Fantasy
419,Action
419,Adventure
419,Science Fiction
419,Thriller
420,War
420,Drama
420,Action
421,Action
421,Thriller
422,Adventure
422,Action
422,Science Fiction
423,Comedy
423,Family
423,Animation
424,Thriller
424,Science Fiction
424,Action
425,Drama
425,Comedy
426,Animation
426,Comedy
426,Drama
427,Drama
427,Science Fiction
427,War
428,Romance
428,Drama
429,Horror
429,Action
429,Science Fiction
430,Family
430,Animation
430,Adventure
430,Comedy
430,Fantasy
431,Horror
431,Science Fiction
432,Adventure
432,Fantasy
432,Drama
432,Romance
433,Animation
433,Family
433,Fantasy
433,Action
433,Adventure
434,Horror
434,Western
434,Fantasy
435,Drama
436,Drama
437,Crime
437,Thriller
437,Drama
438,Animation
438,Adventure
438,Family
439,Drama
439,Romance
440,Animation
440,Family
440,Adventure
440,Comedy
441,Animation
441,Drama
442,Family
442,Animation
442,Adventure
442,Comedy
443,Horror
444,Adventure
444,Fantasy
444,Family
445,Action
445,Adventure
445,Comedy
445,Fantasy
445,Animation
446,Fantasy
446,Adventure
447,Action
447,Drama
447,Horror
447,Science Fiction
447,Thriller
448,Adventure
448,Fantasy
448,Drama
448,Romance
449,Comedy
449,Family
449,Adventure
450,Drama
450,Adventure
451,Drama
451,Comedy
452,Action
452,Thriller
452,Science Fiction
453,Adventure
453,Fantasy
453,Action
454,Family
454,Animation
454,Adventure
454,Comedy
455,Romance
455,Drama
456,Drama
457,Adventure
457,Comedy
457,Science Fiction
458,Action
458,Adventure
458,Fantasy
459,Family
459,Animation
459,Comedy
460,Family
460,Fantasy
460,Comedy
461,Science Fiction
461,Action
461,Adventure
462,Science Fiction
463,Romance
463,Drama
464,Drama
464,History
465,Drama
466,Animation
466,Family
466,Comedy
466,Adventure
467,Action
467,Science Fiction
467,Adventure
468,Horror
469,Mystery
469,Thriller
469,Drama
470,Science Fiction
470,Action
470,Adventure
471,Animation
471,Family
471,Comedy
472,Action
472,Comedy
472,Science Fiction
473,Drama
473,Western
474,Comedy
475,Action
475,Science Fiction
475,Adventure
475,Thriller
476,Adventure
476,Animation
476,Fantasy
477,Adventure
477,Action
477,Science Fiction
478,War
478,Action
478,Thriller
479,History
479,Action
479,Drama
480,Drama
480,Thriller
480,Mystery
481,Animation
481,Family
481,Comedy
481,Fantasy
482,Science Fiction
482,Action
483,Horror
483,Crime
483,Thriller
484,Action
484,Crime
484,Drama
485,Action
485,Thriller
485,Crime
486,Western
487,Romance
487,Drama
487,Fantasy
488,Comedy
488,Romance
489,Action
489,Adventure
489,Science Fiction
490,Horror
490,Thriller
490,Mystery
491,Adventure
491,Action
491,Science Fiction
492,Comedy
493,Fantasy
493,Comedy
493,Adventure
494,Romance
494,Family
494,Animation
495,Crime
495,Romance
495,Thriller
496,Horror
496,Science Fiction
497,Drama
497,Romance
498,Family
498,Animation
498,Comedy
498,Fantasy
498,Adventure
499,Fantasy
499,Adventure
499,Animation
499,Comedy
499,Family
500,Romance
500,Fantasy
500,Animation
501,Action
501,Adventure
501,Science Fiction
502,Adventure
502,Fantasy
502,Drama
502,Romance
503,Animation
503,Adventure
503,Action
503,Fantasy
503,Music
504,Action
504,Thriller
504,Crime
505,Animation
505,Family
505,Fantasy
506,Adventure
506,Action
506,Thriller
506,Science Fiction
507,Family
507,Fantasy
507,Adventure
508,Adventure
508,Fantasy
508,Action
509,Drama
509,Romance
510,Action
510,Thriller
510,Science Fiction
511,Action
511,Thriller
511,Science Fiction
512,Drama
512,Mystery
512,Animation
512,Science Fiction
512,Thriller
513,Drama
513,Romance
514,Thriller
514,Action
515,Animation
515,Action
515,Science Fiction
516,Horror
516,Thriller
517,Fantasy
517,Adventure
517,Animation
517,Family
518,Animation
518,Comedy
518,Family
519,Horror
519,Thriller
520,Action
520,Adventure
520,Science Fiction
521,Fantasy
521,Animation
521,Family
522,Action
522,Comedy
522,Romance
523,Action
524,Action
524,Horror
525,Horror
525,Thriller
525,Fantasy
526,Action
526,Adventure
526,Crime
527,Animation
527,Comedy
527,Fantasy
528,Comedy
528,Crime
529,War
529,Drama
529,Action
530,Horror
530,Mystery
530,Thriller
531,Drama
531,Horror
531,Thriller
532,Drama
533,Animation
533,Comedy
533,Family
534,Science Fiction
534,Thriller
534,Drama
534,Mystery
535,Horror
535,Thriller
536,Action
536,War
536,Adventure
537,Adventure
537,Drama
537,Family
537,Animation
538,Action
538,Crime
538,Drama
538,Thriller
539,Action
539,Adventure
539,Crime
539,Mystery
540,Family
540,Adventure
540,Animation
540,Action
541,Animation
541,Drama
541,Romance
541,Fantasy
542,Animation
542,Family
542,Adventure
542,Fantasy
542,Romance
543,Action
543,War
543,History
544,Adventure
544,Action
544,Fantasy
545,Action
545,Adventure
545,Fantasy
546,Action
546,Adventure
546,Fantasy
547,Action
547,Science Fiction
547,Comedy
547,Family
548,Action
548,Adventure
548,Drama
548,Fantasy
548,Thriller
548,Mystery
549,Science Fiction
549,Animation
549,Action
550,Drama
550,Mystery
551,Animation
551,Science Fiction
551,Family
551,Adventure
552,Fantasy
553,Thriller
553,Drama
553,Crime
554,Adventure
554,Action
554,Western
555,Animation
555,Adventure
555,Comedy
555,Family
556,Comedy
556,Romance
557,Comedy
557,Drama
557,Romance
558,Horror
558,Thriller
559,Romance
559,Drama
560,Romance
560,Drama
561,Action
561,Comedy
561,Thriller
562,Drama
562,Romance
563,Action
563,Adventure
563,Crime
564,Action
564,Crime
564,Comedy
564,Thriller
565,Comedy
566,Animation
566,Family
567,Animation
567,Fantasy
568,Action
568,Thriller
569,Action
569,Adventure
569,Science Fiction
570,Science Fiction
570,Action
570,Adventure
570,Comedy
571,Thriller
572,Fantasy
572,Drama
572,Romance
573,Drama
573,Comedy
574,Drama
574,War
574,History
575,Adventure
575,Drama
575,Action
576,Fantasy
576,Drama
576,Crime
577,Action
577,Thriller
577,Crime
578,Action
578,Fantasy
578,Comedy
579,Science Fiction
579,Mystery
579,Thriller
580,Romance
580,Drama
581,Animation
582,Drama
582,Romance
583,Action
583,Drama
583,Romance
584,Horror
584,Thriller
585,Animation
585,Comedy
585,Family
585,Music
586,Action
586,Adventure
586,Comedy
587,Action
587,Adventure
587,Science Fiction
588,Fantasy
588,Animation
588,Family
589,Family
589,Adventure
589,Comedy
589,Fantasy
589,Animation
590,Animation
590,Comedy
590,Adventure
590,Family
